instanceId	userid	username	Q0 (index)
7dFrjWJgDe4CvuSY6		Eve	-1
82PbpSzvLk8AJ6Swo		Xavier	-1
8tWghFsBXWjLDt6F8		Gloria	-1
GYqE83BXBXQdcBZ8D		Paulo	-1
KZrnFNem8eHZdmEKy		Dan	-1
KbPXJK9KfSWierSau		Maxime François Jan	-1
MXL6EcEtzXxisGjnm		Valentine	-1
Rn3dZwXRGiNNSPz9a		Louis	-1
SjBTogCj7pXPJM3sc		Célia	-1
YW92Gfc5Bm6bvbQvS		cki49ut8j00u001ywa44og07n	-1
bDe5TRETuJMZfQpQJ		Milan	-1
g5LWw7gt2qZ5a8mLr		LozeR	-1
htgs6TSCZHFx8QWoA		Jasmine	-1
i5yGJuHFLrGb4Aq3c		Fred	-1
iLhyKZX7fCZG7E9WH		Johan	-1
izS4XW9C3Hsk9i6dZ		Jade Simonet	-1
k7j4vTAJsjeSQ6iPs		Iris	-1
nDZbh3MADAcsGgdds		Athéna	-1
nWrKTmB4Gca7gBJEk		(rOmAIn) crazy frog	-1
rFpcxTur59PF4RPob		Jodie	-1
wPZsn8Hm8GSG84fBQ		Emilien	-1
x8c5AsmKvKeQQuf32		Louane	-1
xhixmCGfw5P2EfpXr		Lucien	-1
yC8RGNZFekfhHXw7P		Ambre	-1
yY6EnA9zsGS76j5h8		Téliau	-1
zk2HouRMvrk4h86Nd		Ines Sabic	-1